codigo,descripcion
A,"AGRICULTURA, GANADERIA, CAZA, SILVICULTURA Y PEZCA"
01,"AGRICULTURA, GANADERIA, CAZA Y ACTIVIDADES DE APOYO"
011,Cultivo de cosechas no perennes
01110,Cultivo de arroz
0112,"Cultivo de cereales, plantas leguminosas y semillas oleaginosas (excepto arroz)"
01121,Cultivo de soja
01122,Cultivo de maíz
01123,Cultivo de trigo
01124,Cultivo de girasol
01125,Cultivo de sésamo
01126,Cultivo de legumbres
01129,Cultivo de otros cereales y otras semillas oleaginosas n.c.p.
0113,"Cultivo de hortalizas y melones, raíces y tubérculos"
01131,"Cultivo de mandioca, papa y batata"
01132,"Cultivo de bulbos, brotes, raíces y hortalizas de fruto"
01133,Cultivo de hortalizas de hoja y de otras hortalizas frescas
01140,Cultivo de caña de azúcar
01150,Cultivo de tabaco
0116,Cultivo de fibras vegetales
01161,Cultivo de algodón
01169,Cultivo de otras fibras vegetales
0119,Cultivo de otras cosechas no perennes n.c.p.
01191,Cultivo de forrajes
01192,Cultivo de flores
01199,Cultivo de otras cosechas no perennes n.c.p.
012,Cultivo de cosechas perennes
01210,Cultivo de uvas
0122,Cultivo de frutas tropicales y subtropicales
01221,Cultivo de piña
01222,Cultivo de banana
01223,Cultivo de mango
01224,Cultivo de mburucuya
01229,Cultivo de otras frutas tropicales y subtropicales n.c.p.
0123,Cultivo de cítricos
01231,Cultivo de naranja
01232,Cultivo de mandarina
01233,Cultivo de limón
01234,Cultivo de pomelo
01235,Cultivo de naranjo agrio
01239,Cultivo de otras frutas cítricas n.c.p.
01240,Cultivo de frutas con pepita y con hueso
01250,Cultivo de otras frutas y frutos secos arbóreos y de arbustos
01260,Cultivo de frutos oleaginosos
0127,Cultivo de plantas para preparar bebidas
01271,Cultivo de yerba mate
01272,Cultivo de té
01273,Cultivo de café
01279,Cultivo de cacao y de otras plantas para elaboración de bebidas n.c.p.
01280,"Cultivo de especias y plantas aromáticas, medicinales y farmacéuticas"
0129,Cultivo de otras cosechas perennes n.c.p.
01291,Cultivo de estévia
01299,Cultivo de otras cosechas perennes n.c.p.
013,Propagación de plantas
01300,Propagación de plantas
014,Producción pecuaria
0141,Cría de ganado vacuno
01411,Cría de ganado vacuno con destino a la producción de carne
01412,Cría de ganado vacuno lechero
01419,Otras producciones de ganados vacunos n.c.p
01420,Cría de ganado equino
01430,Cría de camellos y camélidos
01440,Cría de ganado ovino y caprino
01450,Cría de ganado porcino
0146,Cría de aves de corral
01461,Cría de aves de corral
01462,Producción de huevos
0149,Cría de otros animales n.c.p.
01491,Apicultura
01492,Cunicultura
01499,Cría de otros animales n.c.p.
015,Cultivo de productos agrícolas en combinación con la cría de animales
01500,Cultivo de productos agrícolas en combinación con la cría de animales
016,Actividades de apoyo a la agricultura y las actividades posteriores a la recolección de cultivos
0161,Actividades de apoyo a la producción agrícola
01611,Servicios de fumigación y riego
01612,Servicios de provisión de maquinaria agrícola con operarios y personal
01613,Actividades posteriores a la cosecha
01614,Procesamiento de semillas para la propagación
01619,Otros servicios de apoyo a la agricultura n.c.p
0162,Actividades de apoyo a la producción pecuaria
01621,Servicios de esquila
01622,Servicios de inseminación artificial
01629,Otros servicios de apoyo a la ganadería n.c.p.
017,Caza ordinaria y mediante trampas y servicios conexos
01700,Caza ordinaria y mediante trampas y servicios conexos
019,"Agricultura, ganadería y caza n.c.p."
0190,"Agricultura, ganadería y caza n.c.p."
01901,Cooperativa de produccion agropecuaria.
01909,"Otras actividades de agricultura, ganadería y caza n.c.p."
02,"SILVICULTURA, EXTRACCIÓN DE MADERA Y ACTIVIDADES DE APOYO"
021,Silvicultura y otras actividades relacionadas a la silvicultura
0210,Silvicultura y otras actividades relacionadas a la silvicultura
02101,Viveros de árboles forestales
02102,Explotación de bosques
02103,Actividades de forestación y reforestación
022,Extracción de madera
0220,Extracción de madera
02201,Producción de leña
02209,Extracción de madera para la producción de otros artículos n.c.p.
023,Recolección de productos forestales diferentes a la madera
02300,Recolección de productos forestales diferentes a la madera
024,Servicios de apoyo a la silvicultura
02400,Servicios de apoyo a la silvicultura
03,"PESCA, ACUICULTURA Y ACTIVIDADES DE APOYO"
031,Pesca
03110,Pesca marítima
03120,Pesca de agua dulce
032,Acuicultura
03210,Acuicultura marítima
03220,Acuicultura de agua dulce
B,EXPLOTACIÓN DE MINAS Y CANTERAS
05,EXTRACCIÓN DE CARBÓN Y LIGNITO
051,Extracción y aglomeración de hulla
05100,Extracción y aglomeración de hulla
052,Extracción y aglomeración de lignito
05200,Extracción y aglomeración de lignito
06,EXTRACCIÓN DE PETRÓLEO CRUDO Y GAS NATURAL
061,Extracción de petróleo crudo
06100,Extracción de petróleo crudo
062,Extracción de gas natural
06200,Extracción de gas natural
07,EXTRACCIÓN DE MINERALES METALÍFEROS
071,Extracción de minerales de hierro
07100,Extracción de minerales de hierro
072,Extracción de minerales metalíferos no ferrosos
07210,Extracción de minerales de uranio y torio
07290,Extracción de otros minerales metalíferos no ferrosos n.c.p.
08,EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS
081,"Extracción de piedra, arena y arcilla"
0810,"Extracción de piedra, arena y arcilla"
08101,"Extracción de arena, piedra triturada y canto rodado"
08102,Extracción de arcilla y caolín
08103,Extracción de piedra caliza y yeso
08104,Extracción de rocas ornamentales
089,Explotación de otras minas y canteras n.c.p.
08910,Extracción de minerales para la fabricación de abonos y productos químicos
08920,Extracción y aglomeración de turba
08930,Extracción de sal
08990,Explotación de otras minas y canteras n.c.p.
09,ACTIVIDADES DE APOYO A LA EXPLOTACIÓN DE MINAS Y CANTERAS
091,Actividades de apoyo a la extracción de petróleo y gas natural
09100,Actividades de apoyo a la extracción de petróleo y gas natural
099,Actividades de apoyo a la explotación de otras minas y canteras n.c.p
09900,Actividades de apoyo a la explotación de otras minas y canteras n.c.p
C,INDUSTRIAS MANUFACTURERAS
10,ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
101,Procesamiento y conservación de carne
1010,Procesamiento y conservación de carne
10101,Matanza de ganado vacuno y procesamiento de su carne
10102,Matanza y procesamiento de carne de aves
10103,Elaboración de fiambres y embutidos
10104,Matanza de ganado porcino y procesamiento de su carne
10109,Matanza de animales n.c.p. y procesamiento de su carne; elaboración de subproductos cárnicos n.c.p.
102,"Procesamiento y conservación de pescado, crustáceos y moluscos"
10200,"Procesamiento y conservación de pescado, crustáceos y moluscos"
103,Procesamiento y conservación de frutas y hortalizas
1030,Procesamiento y conservación de frutas y hortalizas
10301,Procesamiento y conservación de frutas y hortalizas
10302,Elaboración de jugos
104,Elaboración de aceites y grasas de origen vegetal y animal
10400,Elaboración de aceites y grasas de origen vegetal y animal
105,Elaboración de productos lácteos
1050,Elaboración de productos lácteos
10501,Elaboración de leches y productos lácteos
10502,Elaboración industrial de helados
106,"Elaboración de productos de molinería, almidones y productos derivados del almidón"
1061,Elaboración de productos de molinería
10611,Molienda de arroz y fabricación de productos de arroz
10612,Molienda de trigo y fabricación de productos de trigo
10613,Molienda de maíz y fabricación de productos de maíz
10619,Elaboración de otros productos de molinería n.c.p.
10620,Elaboración de almidones y productos derivados del almidón
107,Elaboración de alimentos preparados para animales
10700,Elaboración de alimentos preparados para animales
109,Elaboración de otros productos alimenticios n.c.p.
1091,Elaboración de productos de panadería
10911,Elaboración de galletitas y bizcochos
10912,Elaboración de chipas
10919,Elaboración de otros productos de panadería n.c.p.
10920,Elaboración de azúcar
10930,"Elaboración de cacao, chocolate y de productos confitados"
10940,Elaboración de pastas alimenticias y productos farináceos similares
10950,Tostado y molido de café y elaboración de productos de café
1096,Elaboración de té y yerba mate
10961,Elaboración de té
10962,Elaboración de yerba mate
10970,Elaboración de comidas y platos preparados
1099,Elaboración de otros productos alimenticios n.c.p.
10991,Elaboración de hielo
10999,Elaboración de otros productos alimenticios n.c.p.
11,ELABORACIÓN DE BEBIDAS
111,Elaboración de bebidas alcohólicas
11110,"Destilación, rectificación y mezcla de bebidas alcohólicas"
11120,Elaboración de vinos
11130,Elaboración de bebidas malteadas y de malta
112,Elaboración de bebidas no alcohólicas
11210,Producción de aguas minerales y sodas
11290,Elaboración de otras bebidas no alcohólicas
12,ELABORACIÓN DE PRODUCTOS DE TABACO
120,Elaboración de productos de tabaco
12000,Elaboración de productos de tabaco
13,"FABRICACIÓN DE PRODUCTOS TEXTILES, EXCEPTO PRENDAS DE VESTIR"
131,"Hilandería, tejeduría y acabado de productos textiles"
1311,Preparación e hilandería de fibras textiles
13111,Preparación e hilandería de fibras de algodón
13119,Preparación e hilandería de otras fibras textiles naturales
13120,Tejeduría de productos textiles
13130,Acabado de productos textiles
139,"Fabricación de otros productos textiles n.c.p., excepto prendas de vestir"
13910,Fabricación de tejidos de punto y ganchillo
13920,"Fabricación de artículos confeccionados con materiales textiles, excepto prendas de vestir"
13930,Fabricación de tapices y alfombras
13940,"Fabricación de cuerdas, cordeles, bramantes y redes"
13990,Fabricación de otros productos textiles n.c.p.
14,CONFECCIÓN DE PRENDAS DE VESTIR
141,SERVICIO DE ENFERMERIA
1410,"Confección de prendas de vestir, excepto prendas de piel"
14101,"Confección de prendas de vestir exterior, excepto prendas de cuero y piel"
14102,Confección de prendas de vestir interior
14103,"Confección de prendas de vestir de cuero, excepto prendas de piel"
142,Fabricación de artículos de piel
14200,Fabricación de artículos de piel
143,Fabricación de prendas de vestir de punto y ganchillo
14300,Fabricación de prendas de vestir de punto y ganchillo
15,FABRICACIÓN DE CUERO Y PRODUCTOS CONEXOS
151,"Curtido y terminación de cueros; fabricación de maletas, bolsos de mano y artículos de talabartería y guarnicionería; teñido de pieles"
15110,Curtido y terminación de cueros; teñido de pieles
1512,"Fabricación de maletas, bolsos de mano y artículos similares y de artículos de talabartería y guarnicionería"
15121,"Fabricación de maletas, bolsos de mano y artículos similares"
15129,Fabricación de otros artículos de cuero n.c.p.
152,Fabricación de calzado y sus partes
1520,Fabricación de calzado
15201,Fabricación de calzado de cuero
15202,Fabricación de partes de cuero para calzado
15209,Fabricación de calzado de otros materiales y sus partes
"PRODUCCIÓNDEMADERAYFABRICACIÓNDEPRODUCTOSDEMADERAYCORCHO,",nan
16,EXCEPTO MUEBLES; FABRICACIÓN DE ARTÍCULOS DE PAJA Y DE MATERIALES
TRENZABLES,nan
161,Aserrado y cepillado de madera
16100,Aserrado y cepillado de madera
162,"Fabricación de productos de madera, corcho, paja y materiales trenzables"
16210,"Fabricación de hojas de madera para enchapado; fabricación de tableros contrachapados, tableros laminados, tableros de partículas y otros tableros y paneles"
16220,Fabricación de partes y piezas de carpintería para edificios y construcciones
16230,Fabricación de recipientes de madera
16290,"Fabricación de otros productos de madera n.c.p.; fabricación de artículos de corcho, paja y materiales trenzables"
17,FABRICACIÓN DE PAPEL Y PRODUCTOS DE PAPEL
170,Fabricación de papel y productos de papel
17010,"Fabricación de pasta de madera, papel y cartón"
17020,Fabricación de papel y cartón ondulado y de envases de papel y cartón
17090,Fabricación de otros artículos de papel y cartón
18,ACTIVIDADES DE IMPRESIÓN Y SERVICIOS DE APOYO; REPRODUCCIÓN DE GRABACIONES
181,Actividades de impresión y servicios de apoyo
1811,Actividades de impresión
18111,Actividades de Imprenta
18119,Actividades de impresión n.c.p.
18120,Servicios relacionados con la impresión
182,Reproducción de grabaciones
18200,Reproducción de grabaciones
19,FABRICACIÓN DE COQUE Y DE PRODUCTOS DE LA REFINACIÓN DEL PETRÓLEO
191,Fabricación de productos de hornos de coque
19100,Fabricación de productos de hornos de coque
192,Fabricación de productos de la refinación del petróleo
1920,Fabricación de productos de la refinación del petróleo
19201,Elaboración de combustibles
19209,Fabricación de otros productos de la refinación de petróleo n.cp.
20,FABRICACIÓN DE SUSTANCIAS Y PRODUCTOS QUÍMICOS
201,"Fabricación de sustancias químicas básicas, abonos y compuestos de nitrógeno, plásticos y caucho sintético en formas primarias"
20110,Fabricación de sustancias químicas básicas
20120,Fabricación de abonos y compuestos de nitrógeno
20130,Fabricación de plásticos y caucho sintético en formas primarias
202,Fabricación de biocombustibles
2020,Fabricación de biocombustibles
20201,Fabricación de alcohol
20202,Elaboración de carbón vegetal por destilación de la madera
20209,Frabricación de biocombustibles n.c.p
203,Fabricación de fibras manufacturadas
20300,Fabricación de fibras manufacturadas
209,Fabricación de otros productos químicos n.c.p.
20910,Fabricación de plaguicidas y productos químicos de uso agropecuario
20920,"Fabricación de pinturas, barnices y productos de revestimiento similares, tintas de imprenta y masillas"
2093,"Fabricación de jabones y detergentes, preparados para limpiar y pulir, perfumes y preparados de tocador"
20931,"Fabricación de jabones, detergentes y preparados de limpieza"
20932,"Fabricación de cosméticos, perfumes y artículos de tocador"
20939,Fabricación de otros preparados para limpiar y pulir n.c.p.
20990,Fabricación de otros productos químicos n.c.p.
21,"FABRICACIÓN DE PRODUCTOS FARMACÉUTICOS, SUSTANCIAS QUÍMICAS MEDICINALES Y PRODUCTOS BOTÁNICOS"
210,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos"
2100,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos"
21001,Fabricación de medicamentos de uso humano
21002,Fabricación de medicamentos de uso veterinario
21003,Fabricación de productos farmacéuticos
21004,Fabricación de productos botánicos
22,FABRICACIÓN DE PRODUCTOS DE CAUCHO Y PLÁSTICO
221,Fabricación de productos de caucho
2211,Fabricación de cubiertas y cámaras de caucho; recauchutado y renovación de cubiertas de caucho
22111,Fabricación de cubiertas y cámaras de caucho
22112,Recauchutaje y renovación de cubiertas de caucho
22190,Fabricación de otros productos de caucho
222,Fabricación de productos de plástico
22210,Fabricación de envases de plástico
22290,Fabricación de otros productos de plástico
23,FABRICACIÓN DE PRODUCTOS DE MINERALES NO METÁLICOS
231,Fabricación de vidrio y productos de vidrio
2310,Fabricación de vidrio y productos de vidrio
23101,Fabricación de vidrio plano
23102,Fabricación de envases de vidrio
23109,Fabricación de otros productos de vidrio n.c.p.
239,Fabricación de otros productos de minerales no metálicos n.c.p.
23910,Fabricación de productos de cerámica refractaria
23920,Fabricación de materiales de arcilla para la construcción
23930,Fabricación de otros productos de cerámica y porcelana
23940,"Fabricación de cemento, cal y yeso"
23950,"Fabricación de artículos de hormigón, cemento y yeso"
23960,"Corte, tallado y acabado de la piedra"
23990,Fabricación de otros productos de minerales no metálicos n.c.p.
24,FABRICACIÓN DE METALES
241,Fabricación básica de hierro y acero
24100,Fabricación básica de hierro y acero
242,Fabricación de productos primarios de metales preciosos y otros metales no ferrosos
24200,Fabricación de productos primarios de metales preciosos y otros metales no ferrosos
243,Fundición de metales
24310,Fundición de hierro y acero
24320,Fundición de metales no ferrosos
25,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIAS Y EQUIPOS"
251,"Fabricación de productos metálicos para uso estructural, tanques, depósitos y generadores de vapor"
25110,Fabricación de productos metálicos para uso estructural
25120,"Fabricación de tanques, depósitos y recipientes de metal"
25130,"Fabricación de generadores de vapor, excepto calderas para calefacción central"
252,Fabricación de armas y municiones
25200,Fabricación de armas y municiones
259,Fabricación de otros productos elaborados de metal y servicios de trabajo de metales
25910,"Forja, prensado, estampado y laminado de metales; pulvimetalurgia"
25920,Mecanizado; tratamiento y revestimiento de metales
25930,"Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería"
2599,Fabricación de otros productos elaborados de metal n.c.p.
25991,Fabricación de productos de alambre y otros artículos para la construcción
25992,Fabricación de artículos de metal de uso doméstico
25993,Fabricación de envases metálicos
25999,Fabricación de otros productos elaborados de metal n.c.p.
26,"FABRICACIÓN DE EQUIPOS INFORMÁTICOS, ELECTRÓNICOS Y ÓPTICOS"
261,Fabricación de componentes electrónicos
26100,Fabricación de componentes electrónicos
262,Fabricación de equipos informáticos y periféricos
26200,Fabricación de equipos informáticos y periféricos
263,Fabricación de equipos de comunicaciones
26300,Fabricación de equipos de comunicaciones
264,Fabricación de aparatos electrónicos de consumo
26400,Fabricación de aparatos electrónicos de consumo
265,"Fabricación de equipos para medir, verificar, ensayar, navegar y de control; artículos de relojería"
26510,"Fabricación de equipos para medir, verificar, ensayar, navegar y de control"
26520,Fabricación de artículos de relojería
266,"Fabricación de equipos de irradiación, electromédicos y electroterapéuticos"
26600,"Fabricación de equipos de irradiación, electromédicos y electroterapéuticos"
267,Fabricación de instrumentos ópticos y equipo fotográfico
26700,Fabricación de instrumentos ópticos y equipo fotográfico
268,Fabricación de soportes magnéticos y ópticos
26800,Fabricación de soportes magnéticos y ópticos
27,FABRICACIÓN DE MAQUINARIA Y EQUIPOS ELÉCTRICOS
271,"Fabricación de motores, generadores y transformadores eléctricos, aparatos de distribución y control de electricidad"
27100,"Fabricación de motores, generadores y transformadores eléctricos, aparatos de distribución y control de electricidad"
272,"Fabricación de pilas, baterías y acumuladores eléctricos"
27200,"Fabricación de pilas, baterías y acumuladores eléctricos"
273,Fabricación de cables y aparatos de cableado
27310,Fabricación de cables de fibra óptica
27320,Fabricación de otros cables eléctricos y electrónicos
27330,Fabricación de aparatos de cableado
274,Fabricación de equipos de iluminación eléctricos
27400,Fabricación de equipos de iluminación eléctricos
275,"Fabricación de aparatos de uso doméstico, excepto de audio y video"
27500,"Fabricación de aparatos de uso doméstico, excepto de audio y video"
279,Fabricación de otros equipos eléctricos n.c.p.
27900,Fabricación de otros equipos eléctricos n.c.p.
28,FABRICACIÓN DE MAQUINARIAS Y EQUIPOS N.C.P.
281,Fabricación de maquinaria de uso general
28110,"Fabricación de motores y turbinas, excepto motores para aeronaves, vehículos automotores y motocicletas"
28120,Fabricación de equipos hidráulicos
28130,"Fabricación de otras bombas, compresores, grifos y válvulas"
28140,"Fabricación de cojinetes, engranajes, trenes de engranajes y piezas de transmisión"
28150,Fabricación de hornos y quemadores
28160,Fabricación de equipos de elevación y manipulación
28170,Fabricación de maquinaria y equipo de oficina
28180,Fabricación de herramientas manuales con motor
28190,Fabricación de otros tipos de maquinaria de uso general n.c.p.
282,Fabricación de maquinarias de uso especial
28210,Fabricación de maquinaria agropecuaria y forestal
28220,Fabricación de máquinas herramienta
28230,Fabricación de maquinaria metalúrgica
28240,Fabricación de maquinaria para explotación de minas y canteras y para obras de construcción
28250,"Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco"
28260,"Fabricación de maquinaria para la elaboración de productos textiles, prendas de vestir y cueros"
28290,Fabricación de otros tipos de maquinaria de uso especial n.c.p.
29,"FABRICACIÓN DE VEHÍCULOS AUTOMOTORES, REMOLQUES Y SEMIRREMOLQUES"
291,Fabricación de vehículos automotores
2910,Fabricación de vehículos automotores
29101,Fabricación de vehículos automotores
29102,Rectificacion de motores de vehiculos automotores
292,Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques
29200,Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques
293,Fabricación de piezas y accesorios para vehículos automotores
29300,Fabricación de piezas y accesorios para vehículos automotores
30,FABRICACIÓN DE OTROS EQUIPOS DE TRANSPORTE N.C.P.
301,Construcción de buques y otras embarcaciones
30110,Construcción de buques y estructuras flotantes
30120,Construcción de embarcaciones de recreo y deporte
302,Fabricación de locomotoras y de material rodante para ferrocarriles y tranvías
30200,Fabricación de locomotoras y de material rodante para ferrocarriles y tranvías
